file name,target proteins,decoy proteins,num raw files,method
100_FDR_proteinGroups_classic_grouping_no_remap_512.csv,22526,20088,512,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_16.csv,6142,1093,16,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_8192.csv,27403,17171,8192,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_8.csv,9025,1055,8,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_512.csv,20202,20061,512,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_32.csv,7795,1676,32,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_128.csv,15809,11991,128,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_4096.csv,29198,20530,4096,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_4.csv,8205,966,4,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_16384.csv,30490,17215,16384,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_22796.csv,27204,27515,22796,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_4.csv,8114,695,4,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_4096.csv,24998,23168,4096,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_64.csv,13830,2818,64,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_32.csv,11707,3674,32,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_512.csv,16218,7200,512,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_512.csv,17942,15023,512,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_64.csv,13251,2904,64,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_1.csv,6600,313,1,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_8.csv,5457,1082,8,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_1024.csv,22572,24620,1024,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_64.csv,14526,8163,64,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_64.csv,13842,8162,64,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_512.csv,19947,6747,512,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_2048.csv,25186,29730,2048,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_1.csv,6578,230,1,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_128.csv,15568,4049,128,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_64.csv,14077,5121,64,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_8192.csv,25789,17549,8192,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_1024.csv,22507,9023,1024,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_2.csv,7382,603,2,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_2048.csv,30055,29807,2048,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_16.csv,6229,1784,16,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_128.csv,11981,7396,128,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_16384.csv,27061,27281,16384,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_22796.csv,30702,17386,22796,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_128.csv,11317,3651,128,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_2.csv,7336,436,2,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_1024.csv,25939,24663,1024,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_2048.csv,25641,11890,2048,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_22796.csv,29448,38784,22796,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_8192.csv,35620,36619,8192,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_1.csv,6597,231,1,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_32.csv,7958,3002,32,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_22796.csv,37496,38897,22796,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_22796.csv,26772,19300,22796,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_2048.csv,22726,12580,2048,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_1024.csv,20259,9454,1024,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_8192.csv,29418,16105,8192,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_2.csv,7375,436,2,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_4.csv,4868,661,4,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_256.csv,17662,15457,256,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_4096.csv,30440,31273,4096,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_8192.csv,28394,36487,8192,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_16.csv,6142,1093,16,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_16384.csv,29299,38464,16384,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_1.csv,3719,186,1,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_8.csv,9063,1559,8,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_16384.csv,37207,38582,16384,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_16384.csv,26629,19042,16384,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_8.csv,8894,1064,8,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_16.csv,9835,2398,16,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_256.csv,13244,5003,256,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_256.csv,14300,10322,256,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_32.csv,7795,1676,32,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_4096.csv,25451,15600,4096,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_4.csv,8185,693,4,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_2048.csv,22772,13060,2048,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_2.csv,4293,392,2,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_256.csv,17276,5094,256,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_1024.csv,19251,9898,1024,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_2048.csv,23356,19652,2048,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_1024.csv,23670,14861,1024,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_2048.csv,26991,18144,2048,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_8.csv,8978,2198,8,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_1024.csv,20935,15494,1024,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_8.csv,8923,1561,8,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_256.csv,16653,9384,256,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_2.csv,4284,266,2,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_64.csv,9547,2327,64,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_savitski_no_remap_8.csv,5426,696,8,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_16384.csv,31711,22454,16384,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_savitski_no_remap_16384.csv,28740,18253,16384,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_32.csv,11967,2204,32,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_savitski_no_remap_8192.csv,27403,17171,8192,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_64.csv,13454,5150,64,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_1.csv,3715,124,1,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_128.csv,16022,7306,128,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_32.csv,11578,2244,32,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_4096.csv,27807,14477,4096,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_32.csv,12362,5541,32,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_32.csv,11929,5540,32,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_4096.csv,33270,33863,4096,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_4.csv,4855,435,4,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_256.csv,19133,15469,256,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_256.csv,13244,5003,256,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_8192.csv,33237,34554,8192,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_4096.csv,27051,33757,4096,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_32.csv,12116,3665,32,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_256.csv,16170,5289,256,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_8.csv,9127,2198,8,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_512.csv,20851,11861,512,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_22796.csv,31914,22521,22796,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_savitski_no_remap_22796.csv,29005,18397,22796,proteinGroups_savitski_no_remap
